api_key,pin,name,value,date
TEY8OO5iafAV96gRKcZohbO6ED,V1,Nhiệt độ,25.3,2024-08-23 14:39:22
TEY8OO5iafAV96gRKcZohbO6ED,V1,Nhiệt độ,25.2,2024-08-23 14:34:22
TEY8OO5iafAV96gRKcZohbO6ED,V1,Nhiệt độ,26.1,2024-08-23 14:29:22
TEY8OO5iafAV96gRKcZohbO6ED,V1,Nhiệt độ,25.1,2024-08-23 14:24:22
TEY8OO5iafAV96gRKcZohbO6ED,V1,Nhiệt độ,25.5,2024-08-23 14:19:22
TEY8OO5iafAV96gRKcZohbO6ED,V1,Nhiệt độ,26.1,2024-08-23 14:14:22
TEY8OO5iafAV96gRKcZohbO6ED,V1,Nhiệt độ,26.0,2024-08-23 14:09:22
TEY8OO5iafAV96gRKcZohbO6ED,V1,Nhiệt độ,25.2,2024-08-23 14:04:22
TEY8OO5iafAV96gRKcZohbO6ED,V1,Nhiệt độ,25.8,2024-08-23 13:59:22
TEY8OO5iafAV96gRKcZohbO6ED,V1,Nhiệt độ,27.0,2024-08-23 13:54:22
TEY8OO5iafAV96gRKcZohbO6ED,V1,Nhiệt độ,25.3,2024-08-23 13:49:22
TEY8OO5iafAV96gRKcZohbO6ED,V1,Nhiệt độ,25.6,2024-08-23 13:44:22
TEY8OO5iafAV96gRKcZohbO6ED,V1,Nhiệt độ,26.2,2024-08-23 13:39:22
TEY8OO5iafAV96gRKcZohbO6ED,V1,Nhiệt độ,26.7,2024-08-23 13:34:22
TEY8OO5iafAV96gRKcZohbO6ED,V1,Nhiệt độ,26.9,2024-08-23 13:29:22
TEY8OO5iafAV96gRKcZohbO6ED,V1,Nhiệt độ,26.2,2024-08-23 13:24:22
TEY8OO5iafAV96gRKcZohbO6ED,V1,Nhiệt độ,25.3,2024-08-23 13:19:22
TEY8OO5iafAV96gRKcZohbO6ED,V1,Nhiệt độ,27.0,2024-08-23 13:14:22
TEY8OO5iafAV96gRKcZohbO6ED,V1,Nhiệt độ,25.8,2024-08-23 13:09:22
TEY8OO5iafAV96gRKcZohbO6ED,V1,Nhiệt độ,26.1,2024-08-23 13:04:22
TEY8OO5iafAV96gRKcZohbO6ED,V1,Nhiệt độ,25.0,2024-08-23 12:59:22
TEY8OO5iafAV96gRKcZohbO6ED,V1,Nhiệt độ,25.8,2024-08-23 12:54:22
TEY8OO5iafAV96gRKcZohbO6ED,V1,Nhiệt độ,25.2,2024-08-23 12:49:22
TEY8OO5iafAV96gRKcZohbO6ED,V1,Nhiệt độ,26.1,2024-08-23 12:44:22
TEY8OO5iafAV96gRKcZohbO6ED,V1,Nhiệt độ,25.0,2024-08-23 12:39:22
TEY8OO5iafAV96gRKcZohbO6ED,V1,Nhiệt độ,25.9,2024-08-23 12:34:22
TEY8OO5iafAV96gRKcZohbO6ED,V1,Nhiệt độ,26.4,2024-08-23 12:29:22
TEY8OO5iafAV96gRKcZohbO6ED,V1,Nhiệt độ,26.0,2024-08-23 12:24:22
TEY8OO5iafAV96gRKcZohbO6ED,V1,Nhiệt độ,25.8,2024-08-23 12:19:22
TEY8OO5iafAV96gRKcZohbO6ED,V1,Nhiệt độ,26.1,2024-08-23 12:14:22
TEY8OO5iafAV96gRKcZohbO6ED,V1,Nhiệt độ,26.9,2024-08-23 12:09:22
TEY8OO5iafAV96gRKcZohbO6ED,V1,Nhiệt độ,26.7,2024-08-23 12:04:22
TEY8OO5iafAV96gRKcZohbO6ED,V1,Nhiệt độ,26.2,2024-08-23 11:59:22
TEY8OO5iafAV96gRKcZohbO6ED,V1,Nhiệt độ,26.4,2024-08-23 11:54:22
TEY8OO5iafAV96gRKcZohbO6ED,V1,Nhiệt độ,25.8,2024-08-23 11:49:22
TEY8OO5iafAV96gRKcZohbO6ED,V1,Nhiệt độ,25.4,2024-08-23 11:44:22
TEY8OO5iafAV96gRKcZohbO6ED,V1,Nhiệt độ,25.7,2024-08-23 11:39:22
TEY8OO5iafAV96gRKcZohbO6ED,V1,Nhiệt độ,26.9,2024-08-23 11:34:22
TEY8OO5iafAV96gRKcZohbO6ED,V1,Nhiệt độ,27.0,2024-08-23 11:29:22
TEY8OO5iafAV96gRKcZohbO6ED,V1,Nhiệt độ,25.2,2024-08-23 11:24:22
TEY8OO5iafAV96gRKcZohbO6ED,V1,Nhiệt độ,25.6,2024-08-23 11:19:22
TEY8OO5iafAV96gRKcZohbO6ED,V1,Nhiệt độ,25.1,2024-08-23 11:14:22
TEY8OO5iafAV96gRKcZohbO6ED,V1,Nhiệt độ,25.5,2024-08-23 11:09:22
TEY8OO5iafAV96gRKcZohbO6ED,V1,Nhiệt độ,26.7,2024-08-23 11:04:22
TEY8OO5iafAV96gRKcZohbO6ED,V1,Nhiệt độ,25.5,2024-08-23 10:59:22
TEY8OO5iafAV96gRKcZohbO6ED,V1,Nhiệt độ,26.3,2024-08-23 10:54:22
TEY8OO5iafAV96gRKcZohbO6ED,V1,Nhiệt độ,25.8,2024-08-23 10:49:22
TEY8OO5iafAV96gRKcZohbO6ED,V1,Nhiệt độ,25.6,2024-08-23 10:44:22
TEY8OO5iafAV96gRKcZohbO6ED,V1,Nhiệt độ,26.3,2024-08-23 10:39:22
TEY8OO5iafAV96gRKcZohbO6ED,V1,Nhiệt độ,25.1,2024-08-23 10:34:22
TEY8OO5iafAV96gRKcZohbO6ED,V1,Nhiệt độ,26.1,2024-08-23 10:29:22
TEY8OO5iafAV96gRKcZohbO6ED,V1,Nhiệt độ,26.2,2024-08-23 10:24:22
TEY8OO5iafAV96gRKcZohbO6ED,V1,Nhiệt độ,26.4,2024-08-23 10:19:22
TEY8OO5iafAV96gRKcZohbO6ED,V1,Nhiệt độ,26.2,2024-08-23 10:14:22
TEY8OO5iafAV96gRKcZohbO6ED,V1,Nhiệt độ,26.0,2024-08-23 10:09:22
TEY8OO5iafAV96gRKcZohbO6ED,V1,Nhiệt độ,26.5,2024-08-23 10:04:22
TEY8OO5iafAV96gRKcZohbO6ED,V1,Nhiệt độ,26.9,2024-08-23 09:59:22
TEY8OO5iafAV96gRKcZohbO6ED,V1,Nhiệt độ,26.0,2024-08-23 09:54:22
TEY8OO5iafAV96gRKcZohbO6ED,V1,Nhiệt độ,26.4,2024-08-23 09:49:22
TEY8OO5iafAV96gRKcZohbO6ED,V1,Nhiệt độ,25.2,2024-08-23 09:44:22
TEY8OO5iafAV96gRKcZohbO6ED,V1,Nhiệt độ,26.3,2024-08-23 09:39:22
TEY8OO5iafAV96gRKcZohbO6ED,V1,Nhiệt độ,26.1,2024-08-23 09:34:22
TEY8OO5iafAV96gRKcZohbO6ED,V1,Nhiệt độ,26.5,2024-08-23 09:29:22
TEY8OO5iafAV96gRKcZohbO6ED,V1,Nhiệt độ,25.9,2024-08-23 09:24:22
TEY8OO5iafAV96gRKcZohbO6ED,V1,Nhiệt độ,26.0,2024-08-23 09:19:22
TEY8OO5iafAV96gRKcZohbO6ED,V1,Nhiệt độ,25.5,2024-08-23 09:14:22
TEY8OO5iafAV96gRKcZohbO6ED,V1,Nhiệt độ,26.0,2024-08-23 09:09:22
TEY8OO5iafAV96gRKcZohbO6ED,V1,Nhiệt độ,26.0,2024-08-23 09:04:22
TEY8OO5iafAV96gRKcZohbO6ED,V1,Nhiệt độ,25.7,2024-08-23 08:59:22
TEY8OO5iafAV96gRKcZohbO6ED,V1,Nhiệt độ,26.4,2024-08-23 08:54:22
TEY8OO5iafAV96gRKcZohbO6ED,V1,Nhiệt độ,26.1,2024-08-23 08:49:22
TEY8OO5iafAV96gRKcZohbO6ED,V1,Nhiệt độ,26.9,2024-08-23 08:44:22
TEY8OO5iafAV96gRKcZohbO6ED,V1,Nhiệt độ,25.4,2024-08-23 08:39:22
TEY8OO5iafAV96gRKcZohbO6ED,V1,Nhiệt độ,26.0,2024-08-23 08:34:22
TEY8OO5iafAV96gRKcZohbO6ED,V1,Nhiệt độ,26.0,2024-08-23 08:29:22
TEY8OO5iafAV96gRKcZohbO6ED,V1,Nhiệt độ,25.5,2024-08-23 08:24:22
TEY8OO5iafAV96gRKcZohbO6ED,V1,Nhiệt độ,25.0,2024-08-23 08:19:22
TEY8OO5iafAV96gRKcZohbO6ED,V1,Nhiệt độ,26.3,2024-08-23 08:14:22
TEY8OO5iafAV96gRKcZohbO6ED,V1,Nhiệt độ,25.5,2024-08-23 08:09:22
TEY8OO5iafAV96gRKcZohbO6ED,V1,Nhiệt độ,25.5,2024-08-23 08:04:22
TEY8OO5iafAV96gRKcZohbO6ED,V1,Nhiệt độ,26.5,2024-08-23 07:59:22
TEY8OO5iafAV96gRKcZohbO6ED,V1,Nhiệt độ,25.4,2024-08-23 07:54:22
TEY8OO5iafAV96gRKcZohbO6ED,V1,Nhiệt độ,25.5,2024-08-23 07:49:22
TEY8OO5iafAV96gRKcZohbO6ED,V1,Nhiệt độ,25.6,2024-08-23 07:44:22
TEY8OO5iafAV96gRKcZohbO6ED,V1,Nhiệt độ,26.1,2024-08-23 07:39:22
TEY8OO5iafAV96gRKcZohbO6ED,V1,Nhiệt độ,26.8,2024-08-23 07:34:22
TEY8OO5iafAV96gRKcZohbO6ED,V1,Nhiệt độ,25.9,2024-08-23 07:29:22
TEY8OO5iafAV96gRKcZohbO6ED,V1,Nhiệt độ,25.2,2024-08-23 07:24:22
TEY8OO5iafAV96gRKcZohbO6ED,V1,Nhiệt độ,26.3,2024-08-23 07:19:22
TEY8OO5iafAV96gRKcZohbO6ED,V1,Nhiệt độ,25.4,2024-08-23 07:14:22
TEY8OO5iafAV96gRKcZohbO6ED,V1,Nhiệt độ,26.5,2024-08-23 07:09:22
TEY8OO5iafAV96gRKcZohbO6ED,V1,Nhiệt độ,25.1,2024-08-23 07:04:22
TEY8OO5iafAV96gRKcZohbO6ED,V1,Nhiệt độ,25.4,2024-08-23 06:59:22
TEY8OO5iafAV96gRKcZohbO6ED,V1,Nhiệt độ,25.4,2024-08-23 06:54:22
TEY8OO5iafAV96gRKcZohbO6ED,V1,Nhiệt độ,26.9,2024-08-23 06:49:22
TEY8OO5iafAV96gRKcZohbO6ED,V1,Nhiệt độ,25.1,2024-08-23 06:44:22
